Player,Year,Pos,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Cash,AAV,CONT YR,CONT VALUE,Earnings,FA Year,Sign Year,Sign Age
Reggie Evans,2014,PF,SAC,"$1,768,653",$0,"$1,768,653",0.027999999999999997,"$1,768,653","$1,695,635",3,"$5,086,905","$32,105,763",2015,2012,31
Jusuf Nurkic,2014,C,DEN,"$1,762,680",$0,"$1,762,680",0.027999999999999997,"$1,762,680","$2,118,326",4,"$8,473,305","$1,762,680",2018,2014,19
Lucas Nogueira,2014,C,TOR,"$1,762,680",$0,"$1,762,680",0.027999999999999997,"$1,762,680","$2,118,326",4,"$8,473,305","$1,762,680",2018,2014,21
Luigi Datome,2014,SF,BOS,"$1,750,000",$0,"$1,750,000",0.027999999999999997,"$1,750,000","$1,750,000",2,"$3,500,000","$3,500,000",2015,2013,25
Zoran Dragic,2014,SG,MIA,"$1,500,000","$206,250","$1,706,250",0.027000000000000003,"$1,912,500","$1,706,250",2,"$3,412,500","$1,912,500",2015,2014,24
Tyler Zeller,2014,C,BOS,"$1,703,760",$0,"$1,703,760",0.027000000000000003,"$1,703,760","$1,879,324",4,"$7,517,295","$4,900,320",2016,2012,21
Dennis Schröder,2014,PG,ATL,"$1,690,680",$0,"$1,690,680",0.027000000000000003,"$1,690,680","$1,877,716",4,"$7,510,862","$3,038,880",0,2013,19
James Young,2014,SG,BOS,"$1,674,480",$0,"$1,674,480",0.027000000000000003,"$1,674,480","$1,749,840",3,"$5,249,520","$1,674,480",2017,2014,18
Pablo Prigioni,2014,PG,HOU,"$1,662,961",$0,"$1,662,961",0.026000000000000002,"$1,662,961","$1,662,961",3,"$4,988,883","$3,727,915",2015,2013,35
Ryan Kelly,2014,PF,LAL,"$1,650,000",$0,"$1,650,000",0.026000000000000002,"$1,650,000","$1,687,125",2,"$3,374,250","$2,140,180",2016,2014,22
Terrence Jones,2014,PF,HOU,"$1,618,680",$0,"$1,618,680",0.026000000000000002,"$1,618,680","$1,786,262",4,"$7,145,049","$4,655,520",2016,2012,19
Shane Larkin,2014,PG,NYK,"$1,606,080",$0,"$1,606,080",0.025,"$1,606,080","$1,571,520",2,"$3,143,040","$3,143,040",2015,2013,20
Tyler Ennis,2014,PG,MIL,"$1,590,720",$0,"$1,590,720",0.025,"$1,590,720","$1,662,320",3,"$4,986,960","$1,590,720",2017,2014,19
Andrew Nicholson,2014,PF,ORL,"$1,545,840",$0,"$1,545,840",0.025,"$1,545,840","$1,706,648",4,"$6,826,593","$4,446,000",2016,2012,22
Sergey Karasev,2014,SG,BKN,"$1,533,840",$0,"$1,533,840",0.024,"$1,533,840","$1,533,840",3,"$4,601,520","$3,001,680",2016,2013,19
Gary Harris,2014,SG,DEN,"$1,519,200",$0,"$1,519,200",0.024,"$1,519,200","$1,828,154",4,"$7,312,615","$1,519,200",0,2014,19
Ronny Turiaf,2014,C,PHI,"$1,500,000",$0,"$1,500,000",0.024,"$1,500,000","$1,500,000",2,"$3,000,000","$22,921,461",2015,2013,29
Donatas Motiejunas,2014,PF,HOU,"$1,483,920",$0,"$1,483,920",0.024,"$1,483,920","$1,639,061",4,"$6,556,245","$4,268,040",2016,2012,21
Evan Fournier,2014,SG,ORL,"$1,483,920",$0,"$1,483,920",0.024,"$1,483,920","$1,639,061",4,"$6,556,244","$4,268,040",2016,2012,19
Tony Snell,2014,SG,CHI,"$1,472,400",$0,"$1,472,400",0.023,"$1,472,400","$1,696,412",4,"$6,785,647","$2,881,440",2017,2013,21
Bruno Caboclo,2014,SF,TOR,"$1,458,360",$0,"$1,458,360",0.023,"$1,458,360","$1,755,806",4,"$7,023,225","$1,458,360",2018,2014,18
Willie Green,2014,SF,ORL,"$1,448,490",$0,"$1,448,490",0.023,"$1,448,490","$1,407,666",3,"$4,222,997","$23,358,211",2015,2012,30
Jared Sullinger,2014,PF,BOS,"$1,424,520",$0,"$1,424,520",0.023,"$1,424,520","$1,591,605",4,"$6,366,420","$4,097,160",2016,2012,19
Gorgui Dieng,2014,C,MIN,"$1,413,480",$0,"$1,413,480",0.022000000000000002,"$1,413,480","$1,647,336",4,"$6,589,343","$2,766,120",0,2013,22
Mitch McGary,2014,PF,OKC,"$1,400,040",$0,"$1,400,040",0.022000000000000002,"$1,400,040","$1,463,040",3,"$4,389,120","$1,400,040",2018,2014,21
Mason Plumlee,2014,C,BKN,"$1,357,080",$0,"$1,357,080",0.022000000000000002,"$1,357,080","$1,599,943",4,"$6,399,770","$2,655,720",2017,2013,22
Jordan Adams,2014,SG,MEM,"$1,344,120",$0,"$1,344,120",0.021,"$1,344,120","$1,404,600",3,"$4,213,800","$1,344,120",2018,2014,19
John Jenkins,2014,SG,ATL,"$1,312,920",$0,"$1,312,920",0.021,"$1,312,920","$1,258,760",3,"$3,776,280","$3,776,280",2015,2012,20
Solomon Hill,2014,SF,IND,"$1,302,840",$0,"$1,302,840",0.021,"$1,302,840","$1,302,800",3,"$3,908,400","$2,549,520",2016,2013,21
Rodney Hood,2014,SG,UTA,"$1,290,360",$0,"$1,290,360",0.02,"$1,290,360","$1,608,046",4,"$6,432,184","$1,290,360",2018,2014,21
Alan Anderson,2014,SG,BKN,"$1,276,061",$0,"$1,276,061",0.02,"$1,276,061","$1,304,773",2,"$2,609,545","$3,850,382",2016,2014,31
Tim Hardaway Jr.,2014,SG,NYK,"$1,250,640",$0,"$1,250,640",0.02,"$1,250,640","$1,508,381",4,"$6,033,525","$2,447,400",2017,2013,20
Pero Antic,2014,PF,ATL,"$1,250,000",$0,"$1,250,000",0.02,"$1,250,000","$1,225,000",2,"$2,450,000","$2,450,000",2015,2013,30
Shabazz Napier,2014,PG,MIA,"$1,238,640",$0,"$1,238,640",0.02,"$1,238,640","$1,561,140",4,"$6,244,560","$1,238,640",2018,2014,22
Shawne Williams,2014,SF,DET,"$1,227,985",$0,"$1,227,985",0.019,"$1,227,985","$1,292,066",2,"$2,584,131","$16,308,774",2016,2014,27
Tony Wroten Jr.,2014,SG,PHI,"$1,210,080",$0,"$1,210,080",0.019,"$1,210,080","$1,886,531",3,"$5,659,594","$3,480,240",2016,2012,18
Reggie Bullock,2014,SF,PHX,"$1,200,720",$0,"$1,200,720",0.019,"$1,200,720","$1,464,451",4,"$5,857,804","$2,349,720",2017,2013,21
Clint Capela,2014,C,HOU,"$1,189,200",$0,"$1,189,200",0.019,"$1,189,200","$1,515,672",4,"$6,062,688","$1,189,200",2018,2014,19
Miles Plumlee,2014,C,MIL,"$1,169,880",$0,"$1,169,880",0.019,"$1,169,880","$1,368,493",4,"$5,473,973","$3,364,680",2016,2012,23
Andre Roberson,2014,SG,OKC,"$1,160,880",$0,"$1,160,880",0.018000000000000002,"$1,160,880","$1,323,828",4,"$5,295,312","$1,901,440",2017,2013,21
P.J. Hairston,2014,SG,CHA,"$1,149,720",$0,"$1,149,720",0.018000000000000002,"$1,149,720","$1,175,580",2,"$2,351,160","$1,149,720",2016,2014,21
Cartier Martin,2014,PF,DET,"$1,145,686",$0,"$1,145,686",0.018000000000000002,"$1,145,686","$1,208,325",2,"$2,416,650","$4,419,225",2016,2014,29
Brandon Rush,2014,SG,GSW,"$1,145,685",$0,"$1,145,685",0.018000000000000002,"$1,145,685","$1,208,325",2,"$2,416,649","$17,327,794",2016,2014,28
Perry Jones III,2014,SF,OKC,"$1,129,200",$0,"$1,129,200",0.018000000000000002,"$1,129,200","$1,321,472",4,"$5,285,886","$3,247,680",2016,2012,20
Rudy Gobert,2014,C,UTA,"$1,127,400",$0,"$1,127,400",0.018000000000000002,"$1,127,400","$1,375,842",4,"$5,503,368","$2,206,200",0,2013,20
Festus Ezeli,2014,C,GSW,"$1,112,880",$0,"$1,112,880",0.018000000000000002,"$1,112,880","$1,302,377",4,"$5,209,508","$3,200,760",2016,2012,22
Archie Goodwin,2014,SG,PHX,"$1,112,280",$0,"$1,112,280",0.018000000000000002,"$1,112,280","$1,357,732",4,"$5,430,929","$2,176,680",2017,2013,18
C.J. Wilcox,2014,SG,LAC,"$1,109,760",$0,"$1,109,760",0.018000000000000002,"$1,109,760","$1,159,680",3,"$3,479,040","$1,109,760",2017,2014,23
Damjan Rudez,2014,SF,IND,"$1,100,000",$0,"$1,100,000",0.017,"$1,100,000","$1,124,750",2,"$2,249,500","$1,100,000",2017,2014,27
Kyle Anderson,2014,SF,SAS,"$1,093,680",$0,"$1,093,680",0.017,"$1,093,680","$1,142,880",3,"$3,428,640","$1,093,680",2018,2014,20
Kyle Singler,2014,SF,OKC,"$1,090,000",$0,"$1,090,000",0.017,"$1,090,000","$1,045,000",3,"$3,135,000","$3,135,000",2015,2012,23
Robert Covington,2014,SF,PHI,"$1,000,000",$0,"$1,000,000",0.016,"$1,000,000","$1,148,232",4,"$4,592,926","$1,640,180",2018,2014,23
Al-Farouq Aminu,2014,SF,DAL,"$981,084",$0,"$981,084",0.016,"$981,084","$981,084",1,"$981,084","$12,459,696",2015,2014,23
Ed Davis,2014,PF,LAL,"$981,084",$0,"$981,084",0.016,"$981,084","$1,040,843",2,"$2,081,686","$9,921,640",2015,2014,24
Alexis Ajinca,2014,C,NOP,"$981,084",$0,"$981,084",0.016,"$981,084","$808,482",2,"$1,616,964","$5,733,204",2015,2013,24
Luke Babbitt,2014,SF,NOP,"$981,084",$0,"$981,084",0.016,"$981,084","$684,540",2,"$1,369,079","$6,330,467",2015,2013,23
Garrett Temple,2014,SG,WAS,"$981,084",$0,"$981,084",0.016,"$981,084","$1,040,843",2,"$2,081,686","$2,926,323",2016,2014,27
Jon Leuer,2014,PF,MEM,"$967,500",$0,"$967,500",0.015,"$967,500","$967,500",3,"$2,902,500","$3,010,888",2016,2013,23
E'Twaun Moore,2014,SG,CHI,"$948,163",$0,"$948,163",0.015,"$948,163","$981,792",2,"$1,963,584","$3,356,942",2016,2014,24
Greg Smith,2014,C,DAL,"$948,163",$0,"$948,163",0.015,"$948,163","$481,884",2,"$963,768","$3,178,591",2015,2013,21
Joey Dorsey,2014,PF,HOU,"$948,163",$0,"$948,163",0.015,"$948,163","$981,792",2,"$1,963,584","$1,850,203",2016,2014,30
Donald Sloan,2014,PG,IND,"$948,163",$0,"$948,163",0.015,"$948,163","$916,228",2,"$1,832,456","$2,378,626",2015,2013,24
Jae Crowder,2014,SF,BOS,"$915,243",$0,"$915,243",0.015,"$915,243","$768,202",3,"$2,304,606","$2,304,606",2015,2012,21
Jason Maxiell,2014,PF,CHA,"$1,316,809",$0,"$915,243",0.015,"$1,316,809","$1,316,809",1,"$1,316,809","$27,639,211",2015,2014,30
Jeff Taylor,2014,SG,CHA,"$915,243",$0,"$915,243",0.015,"$915,243","$759,705",3,"$2,279,115","$2,279,115",2015,2012,22
Nazr Mohammed,2014,C,CHI,"$1,448,490",$0,"$915,243",0.015,"$1,448,490","$1,448,490",1,"$1,448,490","$64,705,511",2015,2014,36
Aaron Brooks,2014,PG,CHI,"$1,145,685",$0,"$915,243",0.015,"$1,145,685","$1,145,685",1,"$1,145,685","$12,896,383",2015,2014,28
James Jones,2014,SG,CLE,"$1,448,490",$0,"$915,243",0.015,"$1,448,490","$1,448,490",1,"$1,448,490","$28,955,093",2015,2014,33
Shawn Marion,2014,SF,CLE,"$1,448,490",$0,"$915,243",0.015,"$1,448,490","$1,448,490",1,"$1,448,490","$133,417,923",2015,2014,35
Richard Jefferson,2014,SF,DAL,"$1,448,490",$0,"$915,243",0.015,"$1,448,490","$1,448,490",1,"$1,448,490","$106,244,682",2015,2014,33
Charlie Villanueva,2014,PF,DAL,"$1,316,809",$0,"$915,243",0.015,"$1,316,809","$1,316,809",1,"$1,316,809","$48,607,399",2015,2014,29
Will Barton,2014,SG,DEN,"$915,243",$0,"$915,243",0.015,"$915,243","$751,372",3,"$2,254,115","$2,254,115",2015,2012,20
Leandro Barbosa,2014,SG,GSW,"$1,448,490",$0,"$915,243",0.015,"$1,448,490","$1,448,490",1,"$1,448,490","$39,060,015",2015,2014,31
Draymond Green,2014,PF,GSW,"$915,243",$0,"$915,243",0.015,"$915,243","$880,248",3,"$2,640,743","$2,640,743",2015,2012,21
Patrick Beverley,2014,PG,HOU,"$915,243",$0,"$915,243",0.015,"$915,243","$661,830",3,"$1,985,491","$2,774,363",2015,2012,23
Rodney Stuckey,2014,PG,IND,"$1,227,985",$0,"$915,243",0.015,"$1,227,985","$1,227,985",1,"$1,227,985","$32,898,534",2015,2014,27
LaVoy Allen,2014,PF,IND,"$948,163",$0,"$915,243",0.015,"$948,163","$948,163",1,"$948,163","$7,389,356",2015,2014,24
Hedo Turkoglu,2014,SF,LAC,"$1,448,490",$0,"$915,243",0.015,"$1,448,490","$1,448,490",1,"$1,448,490","$83,157,605",2015,2014,34
Glen Davis,2014,PF,LAC,"$1,227,985",$0,"$915,243",0.015,"$1,227,985","$1,227,985",1,"$1,227,985","$33,175,999",2015,2014,27
Ekpe Udoh,2014,PF,LAC,"$981,084",$0,"$915,243",0.015,"$981,084","$981,084",1,"$981,084","$14,692,593",2015,2014,26
Ronnie Price,2014,PG,LAL,"$1,316,809",$0,"$915,243",0.015,"$1,316,809","$1,316,809",1,"$1,316,809","$10,572,168",2015,2014,30
Wayne Ellington,2014,SG,LAL,"$1,063,384",$0,"$915,243",0.015,"$1,063,384","$1,063,384",1,"$1,063,384","$9,692,567",2015,2014,26
Wesley Johnson,2014,SF,LAL,"$981,084",$0,"$915,243",0.015,"$981,084","$981,084",1,"$981,084","$13,133,749",2015,2014,26
Robert Sacre,2014,C,LAL,"$915,243",$0,"$915,243",0.015,"$915,243","$895,154",3,"$2,685,463","$2,177,719",2016,2013,23
Khris Middleton,2014,SF,MIL,"$915,243",$0,"$915,243",0.015,"$915,243","$725,906",3,"$2,177,719","$2,177,719",2015,2012,20
Jimmer Fredette,2014,PG,NOP,"$948,163",$0,"$915,243",0.015,"$948,163","$948,163",1,"$948,163","$7,767,929",2015,2014,24
Cole Aldrich,2014,C,NYK,"$981,084",$0,"$915,243",0.015,"$981,084","$981,084",1,"$981,084","$8,309,134",2015,2014,25
Quincy Acy,2014,PF,NYK,"$915,243",$0,"$915,243",0.015,"$915,243","$789,705",3,"$2,369,115","$2,369,115",2015,2012,21
Kyle O'Quinn,2014,C,ORL,"$915,243",$0,"$915,243",0.015,"$915,243","$830,996",3,"$2,492,987","$2,492,987",2015,2012,21
Henry Sims,2014,C,PHI,"$915,243",$0,"$915,243",0.015,"$915,243","$852,058",2,"$1,704,115","$1,781,974",2015,2013,22
Alonzo Gee,2014,SF,POR,"$1,063,384",$0,"$915,243",0.015,"$1,063,384","$1,063,384",1,"$1,063,384","$9,318,137",2015,2014,26
Ryan Hollins,2014,C,SAC,"$1,310,286",$0,"$915,243",0.015,"$1,310,286","$1,310,286",1,"$1,310,286","$12,402,503",2015,2014,29
Omri Casspi,2014,SF,SAC,"$1,063,384",$0,"$915,243",0.015,"$1,063,384","$1,063,384",1,"$1,063,384","$7,790,191",2015,2014,25
Matt Bonner,2014,C,SAS,"$1,448,490",$0,"$915,243",0.015,"$1,448,490","$1,448,490",1,"$1,448,490","$28,016,938",2015,2014,33
Greg Stiemsma,2014,C,TOR,"$981,084",$0,"$915,243",0.015,"$981,084","$981,084",1,"$981,084","$6,851,130",2015,2014,28
Rasual Butler,2014,SF,WAS,"$1,448,490",$0,"$915,243",0.015,"$1,448,490","$1,448,490",1,"$1,448,490","$4,077,252",2015,2014,34
Drew Gooden,2014,PF,WAS,"$1,448,490",$0,"$915,243",0.015,"$1,448,490","$1,448,490",1,"$1,448,490","$70,523,014",2015,2014,32
Jose Barea,2014,PG,DAL,"$1,302,578",$0,"$909,859",0.013999999999999999,"$1,302,578","$325,645",4,"$1,302,578","$23,233,650",2015,2014,29
Joe Harris,2014,SG,CLE,"$884,879",$0,"$884,879",0.013999999999999999,"$884,879","$903,456",3,"$2,710,369","$884,879",2017,2014,22
Roy Devyn Marble,2014,SF,ORL,"$884,879",$0,"$884,879",0.013999999999999999,"$884,879","$903,456",3,"$2,710,369","$884,879",2017,2014,21
Jerami Grant,2014,SF,PHI,"$884,879",$0,"$884,879",0.013999999999999999,"$884,879","$1,058,669",4,"$4,234,674","$884,879",2018,2014,19
Robbie Hummel,2014,SF,MIN,"$880,000",$0,"$880,000",0.013999999999999999,"$880,000","$880,000",1,"$880,000","$1,370,180",2015,2014,24
Allen Crabbe,2014,SG,POR,"$862,000",$0,"$862,000",0.013999999999999999,"$862,000","$878,092",3,"$2,634,276","$1,687,000",2016,2013,20
Ishmael Smith,2014,PG,PHI,"$923,373",$0,"$861,405",0.013999999999999999,"$923,373","$923,373",1,"$923,373","$4,762,487",2015,2014,25
Damien Inglis,2014,SF,MIL,"$820,000",$0,"$820,000",0.013000000000000001,"$820,000","$885,144",3,"$2,655,431","$820,000",2017,2014,18
Mike Muscala,2014,PF,ATL,"$816,482",$0,"$816,482",0.013000000000000001,"$816,482","$735,231",4,"$2,940,925","$977,953",2017,2013,21
Phil Pressey,2014,PG,BOS,"$816,482",$0,"$816,482",0.013000000000000001,"$816,482","$751,313",3,"$2,253,938","$1,306,662",2015,2013,21
Jerome Jordan,2014,C,BKN,"$816,482",$0,"$816,482",0.013000000000000001,"$816,482","$816,482",1,"$816,482","$1,197,675",2015,2014,27
Troy Daniels,2014,SG,CHA,"$816,482",$0,"$816,482",0.013000000000000001,"$816,482","$881,879",2,"$1,763,758","$975,070",2016,2014,22
Matthew Dellavedova,2014,PG,CLE,"$816,482",$0,"$816,482",0.013000000000000001,"$816,482","$653,331",2,"$1,306,662","$1,306,662",2015,2013,22
Ian Clark,2014,SG,DEN,"$816,482",$0,"$816,482",0.013000000000000001,"$816,482","$653,331",2,"$1,306,662","$1,306,662",2015,2013,21
Justin Holiday,2014,SG,GSW,"$816,482",$0,"$816,482",0.013000000000000001,"$816,482","$816,482",1,"$816,482","$863,842",2015,2014,24
Ognjen Kuzmic,2014,C,GSW,"$816,482",$0,"$816,482",0.013000000000000001,"$816,482","$653,331",2,"$1,306,662","$1,306,662",2015,2013,22
Nick Calathes,2014,SG,MEM,"$816,482",$0,"$816,482",0.013000000000000001,"$816,482","$653,331",2,"$1,306,662","$1,306,662",2015,2013,23
Justin Hamilton,2014,C,MIN,"$816,482",$0,"$816,482",0.013000000000000001,"$816,482","$457,259",2,"$914,518","$943,352",2015,2013,22
Jeff Withey,2014,C,NOP,"$816,482",$0,"$816,482",0.013000000000000001,"$816,482","$653,331",2,"$1,306,662","$1,306,662",2015,2013,22
Dewayne Dedmon,2014,C,ORL,"$816,482",$0,"$816,482",0.013000000000000001,"$816,482","$687,919",3,"$2,063,758","$1,314,486",2016,2013,23
Isaiah Canaan,2014,PG,PHI,"$816,482",$0,"$816,482",0.013000000000000001,"$816,482","$778,091",3,"$2,334,273","$1,386,997",2016,2013,21
Hollis Thompson,2014,SG,PHI,"$816,482",$0,"$816,482",0.013000000000000001,"$816,482","$817,409",4,"$3,269,634","$1,381,662",2017,2013,21
Ray McCallum,2014,PG,SAC,"$816,482",$0,"$816,482",0.013000000000000001,"$816,482","$762,791",3,"$2,288,374","$1,341,098",2016,2013,21
Grant Jerrett,2014,PF,UTA,"$816,482",$0,"$816,482",0.013000000000000001,"$816,482","$966,800",4,"$3,867,199","$845,316",2018,2014,20
Hassan Whiteside,2014,C,MIA,"$769,881",$0,"$769,881",0.012,"$769,881","$875,615",2,"$1,751,229","$2,284,048",2016,2014,24
Jarnell Stokes,2014,PF,MEM,"$725,000",$0,"$725,000",0.012,"$725,000","$850,163",3,"$2,550,490","$725,000",2017,2014,19
Dante Cunningham,2014,PF,NOP,"$831,942",$0,"$716,043",0.011000000000000001,"$831,942","$831,942",1,"$831,942","$7,931,481",2015,2014,26
Darius Morris,2014,PG,BKN,"$702,756",$0,"$702,756",0.011000000000000001,"$702,756","$859,089",2,"$1,718,177","$2,402,195",2016,2014,22
Spencer Dinwiddie,2014,PG,DET,"$700,000",$0,"$700,000",0.011000000000000001,"$700,000","$841,830",3,"$2,525,490","$700,000",2017,2014,20
Johnny O'Bryant,2014,PF,MIL,"$600,000",$0,"$600,000",0.01,"$600,000","$808,497",3,"$2,425,490","$600,000",2017,2014,20
Markel Brown,2014,SG,BKN,"$507,336",$0,"$507,336",0.008,"$507,336","$676,198",2,"$1,352,395","$507,336",2016,2014,21
Cory Jefferson,2014,PF,BKN,"$507,336",$0,"$507,336",0.008,"$507,336","$676,198",2,"$1,352,395","$507,336",2016,2014,23
Cameron Bairstow,2014,PF,CHI,"$507,336",$0,"$507,336",0.008,"$507,336","$777,609",3,"$2,332,826","$507,336",2017,2014,23
Dwight Powell,2014,PF,DAL,"$507,336",$0,"$507,336",0.008,"$507,336","$676,198",2,"$1,352,395","$507,336",2016,2014,22
Erick Green,2014,PG,DEN,"$507,336",$0,"$507,336",0.008,"$507,336","$777,609",3,"$2,332,826","$507,336",2017,2014,22
Nick Johnson,2014,SG,HOU,"$507,336",$0,"$507,336",0.008,"$507,336","$777,609",3,"$2,332,826","$507,336",2017,2014,21
K.J. McDaniels,2014,SG,HOU,"$507,336",$0,"$507,336",0.008,"$507,336","$507,336",1,"$507,336","$507,336",2015,2014,20
Shayne Whittington,2014,PF,IND,"$507,336",$0,"$507,336",0.008,"$507,336","$507,336",1,"$507,336","$507,336",2015,2014,22
Tarik Black,2014,PF,LAL,"$507,336",$0,"$507,336",0.008,"$507,336","$676,198",2,"$1,352,395","$507,336",2016,2014,22
Jordan Clarkson,2014,PG,LAL,"$507,336",$0,"$507,336",0.008,"$507,336","$676,198",2,"$1,352,395","$507,336",2016,2014,21
Russ Smith,2014,PG,MEM,"$507,336",$0,"$507,336",0.008,"$507,336","$777,609",3,"$2,332,826","$507,336",2017,2014,22
James Ennis III,2014,SF,MIA,"$507,336",$0,"$507,336",0.008,"$507,336","$777,609",3,"$2,332,826","$507,336",2017,2014,23
Cleanthony Early,2014,SF,NYK,"$507,336",$0,"$507,336",0.008,"$507,336","$676,198",2,"$1,352,395","$507,336",2016,2014,22
Travis Wear,2014,SF,NYK,"$507,336",$0,"$507,336",0.008,"$507,336","$507,336",1,"$507,336","$507,336",2015,2014,23
Glenn Robinson III,2014,SG,PHI,"$507,336",$0,"$507,336",0.008,"$507,336","$507,336",1,"$507,336","$507,336",2015,2014,19
JaKarr Sampson,2014,SG,PHI,"$507,336",$0,"$507,336",0.008,"$507,336","$777,609",3,"$2,332,826","$507,336",2018,2014,20
Eric Moreland,2014,PF,SAC,"$507,336",$0,"$507,336",0.008,"$507,336","$777,609",3,"$2,332,826","$507,336",2017,2014,22
Joe Ingles,2014,SF,UTA,"$507,336",$0,"$507,336",0.008,"$507,336","$507,336",1,"$507,336","$507,336",2015,2014,26
Louis Amundson,2014,PF,NYK,"$585,775",$0,"$409,167",0.006,"$585,775","$585,775",1,"$585,775","$9,632,667",2015,2014,31
Lance Thomas,2014,SF,NYK,"$423,885",$0,"$409,167",0.006,"$423,885","$423,885",1,"$423,885","$2,071,475",2015,2014,25
Dahntay Jones,2014,SF,LAC,"$613,478",$0,"$387,632",0.006,"$613,478","$613,478",1,"$613,478","$17,726,873",2015,2014,33
Reggie Williams,2014,SF,SAS,"$344,036",$0,"$344,036",0.005,"$344,036","$764,910",2,"$1,529,820","$5,813,227",2016,2014,27
Amar'e Stoudemire,2014,PF,DAL,"$485,670",$0,"$306,876",0.005,"$485,670","$485,670",1,"$485,670","$160,129,705",2015,2014,31
Kendrick Perkins,2014,C,CLE,"$434,547",$0,"$274,573",0.004,"$434,547","$434,547",1,"$434,547","$56,238,081",2015,2014,29
John Lucas III,2014,PG,DET,"$336,966",$0,"$269,189",0.004,"$336,966","$336,966",1,"$336,966","$5,946,249",2015,2014,31
Lorenzo Brown,2014,PG,MIN,"$268,959",$0,"$268,959",0.004,"$268,959","$608,118",2,"$1,216,235","$365,015",2016,2014,23
Elijah Millsap,2014,SG,UTA,"$241,731",$0,"$241,731",0.004,"$241,731","$689,074",3,"$2,067,221","$301,417",2017,2014,26
Bernard James,2014,C,DAL,"$236,886",$0,"$236,886",0.004,"$236,886","$236,886",1,"$236,886","$2,522,281",2015,2014,28
Langston Galloway,2014,PG,NYK,"$235,762",$0,"$235,762",0.004,"$235,762","$540,411",2,"$1,080,821","$326,448",2016,2014,22
Tyler Johnson,2014,SG,MIA,"$199,950",$0,"$199,950",0.003,"$199,950","$522,505",2,"$1,045,009","$334,636",2016,2014,21
Henry Walker,2014,PG,MIA,"$196,217",$0,"$196,217",0.003,"$196,217","$605,819",2,"$1,211,638","$311,639",2016,2014,26
Michael Beasley,2014,SF,MIA,"$195,440",$0,"$195,440",0.003,"$195,440","$195,440",1,"$195,440","$26,063,876",2015,2014,24
Quincy Miller,2014,SF,DET,"$183,049",$0,"$183,049",0.003,"$183,049","$582,199",2,"$1,164,397","$1,810,877",2016,2014,21
Earl Barron,2014,PF,PHX,"$262,057",$0,"$183,049",0.003,"$262,057","$262,057",1,"$262,057","$3,572,574",2015,2014,32
James McAdoo,2014,SF,GSW,"$167,122",$0,"$167,122",0.003,"$167,122","$506,091",2,"$1,012,181","$261,808",2016,2014,20
Jordan Hamilton,2014,SF,LAC,"$150,591",$0,"$150,591",0.002,"$150,591","$583,006",2,"$1,166,012","$3,484,328",2015,2014,23
Toney Douglas,2014,SG,NOP,"$143,870",$0,"$143,870",0.002,"$143,870","$664,827",2,"$1,329,654","$6,926,194",2015,2014,27
JaMychal Green,2014,PF,MEM,"$134,295",$0,"$134,295",0.002,"$134,295","$653,262",3,"$1,959,785","$283,824",2017,2014,23
Christapher Johnson,2014,SF,UTA,"$113,059",$0,"$113,059",0.002,"$113,059","$715,123",3,"$2,145,368","$856,347",2017,2014,23
Bryce Cotton,2014,PG,UTA,"$92,514",$0,"$92,514",0.001,"$92,514","$639,335",3,"$1,918,004","$202,200",2017,2014,21
Dahntay Jones,2014,SF,LAC,"$85,205",$0,"$85,205",0.001,"$85,205","$8,521",10,"$85,205","$17,726,873",0,2014,33
Will Bynum,2014,PG,WAS,"$72,234",$0,"$72,234",0.001,"$72,234","$72,234",1,"$72,234","$16,593,650",2015,2014,30
Jack Cooley,2014,PF,UTA,"$62,671",$0,"$62,671",0.001,"$62,671","$629,387",3,"$1,888,161","$187,357",2017,2014,22
Austin Daye,2014,PF,ATL,"$62,552",$0,"$62,552",0.001,"$62,552","$624,168",2,"$1,248,336","$10,129,318",2015,2014,25
Earl Clark,2014,SF,BKN,"$62,552",$0,"$62,552",0.001,"$62,552","$624,168",2,"$1,248,336","$10,322,500",2015,2014,25
Greg Smith,2014,C,MIN,"$59,731",$0,"$55,722",0.001,"$59,731","$5,973",10,"$59,731","$3,178,591",0,2015,23
Austin Daye,2014,PF,ATL,"$62,552",$0,"$53,838",0.001,"$62,552","$6,255",10,"$62,552","$10,129,318",0,2014,25
Earl Clark,2014,SF,BKN,"$59,731",$0,"$53,838",0.001,"$59,731","$5,973",10,"$59,731","$10,322,500",0,2014,25
Elliot Williams,2014,SG,CHA,"$57,711",$0,"$53,838",0.001,"$57,711","$5,771",10,"$57,711","$4,880,862",0,2014,24
Bernard James,2014,C,DAL,"$53,838",$0,"$53,838",0.001,"$53,838","$5,384",10,"$53,838","$2,522,281",0,2014,28
Bernard James,2014,C,DAL,"$53,838",$0,"$53,838",0.001,"$53,838","$5,384",10,"$53,838","$2,522,281",0,2014,28
John Lucas III,2014,PG,DET,"$67,393",$0,"$53,838",0.001,"$67,393","$6,739",10,"$67,393","$5,946,249",0,2014,31
John Lucas III,2014,PG,DET,"$67,393",$0,"$53,838",0.001,"$67,393","$6,739",10,"$67,393","$5,946,249",0,2014,31
Quincy Miller,2014,SF,DET,"$53,838",$0,"$53,838",0.001,"$53,838","$5,384",10,"$53,838","$1,810,877",0,2014,21
