Player,Year,Pos,Status,Team From,Team From To,YRS,Value,AAV,GTDAT SIGN,GTDPRACTICAL,YR-1 CAP,YR-1 CASH
Kenrich Williams,2020,PF,UFA,NOP,OKC,3,"$6,000,000","$2,000,000",$0,"$2,000,000",$0,$0
Jontay Porter,2020,PF,RFA,MEM,MEM,3,"$5,850,000","$1,950,000","$2,200,000","$2,200,000","$1,857,143","$1,857,143"
Avery Bradley,2020,PG,UFA,LAL,MIA,1,"$5,635,000","$5,635,000",$0,"$5,635,000",$0,$0
Drew Eubanks,2020,C,RFA,SAS,SAS,3,"$5,294,220","$1,764,740",$0,"$2,120,564",$0,$0
Chimezie Metu,2020,C,UFA,SAS,SAC,3,"$5,294,220","$1,764,740",$0,"$50,000",$0,$0
Marc Gasol,2020,C,UFA,TOR,LAL,2,"$5,257,744","$2,628,872",$0,"$5,257,744",$0,$0
Nerlens Noel,2020,C,UFA,OKC,NYK,1,"$5,000,000","$5,000,000",$0,"$5,000,000",$0,$0
Zylan Cheatham,2020,SF,RFA,NOP,OKC,3,"$4,994,028","$1,664,676","$1,445,697","$1,445,697","$1,445,697","$1,445,697"
Bryn Forbes,2020,SG,UFA,SAS,MIL,2,"$4,791,147","$2,395,574","$4,791,147","$4,791,147","$2,337,145","$2,337,145"
Garrett Temple,2020,SG,UFA,BKN,CHI,1,"$4,767,000","$4,767,000",$0,"$4,767,000",$0,$0
Elfrid Payton,2020,PG,UFA,NYK,NYK,1,"$4,767,000","$4,767,000",$0,"$4,767,000",$0,$0
Gary Clark,2020,PF,RFA,ORL,ORL,2,"$4,100,000","$2,050,000","$2,000,000","$2,000,000","$2,000,000","$2,000,000"
Jahlil Okafor,2020,C,UFA,NOP,DET,2,"$4,012,890","$2,006,445",$0,"$4,012,890",$0,$0
Jerian Grant,2020,PG,UFA,WAS,HOU,2,"$4,012,890","$2,006,445","$50,000","$50,000","$1,882,867","$1,882,867"
Damian Jones,2020,C,UFA,ATL,PHX,2,"$3,714,156","$1,857,078",$0,"$350,000",$0,$0
DeAndre' Bembry,2020,SF,UFA,ATL,TOR,2,"$3,714,156","$1,857,078",$0,"$1,737,145",$0,$0
Wesley Matthews,2020,SG,UFA,MIL,LAL,1,"$3,623,000","$3,623,000","$3,623,000","$3,623,000","$3,623,000","$3,623,000"
Maurice Harkless,2020,SF,UFA,NYK,MIA,1,"$3,623,000","$3,623,000",$0,"$3,623,000",$0,$0
Dwayne Bacon,2020,SG,UFA,CHA,ORL,2,"$3,502,857","$1,751,429",$0,"$3,502,857",$0,$0
Frank Jackson,2020,PG,UFA,NOP,OKC,2,"$3,502,857","$1,751,429",$0,"$250,000",$0,$0
Bismack Biyombo,2020,C,UFA,CHA,CHA,1,"$3,500,000","$3,500,000",$0,"$3,500,000",$0,$0
Wenyen Gabriel,2020,PF,UFA,POR,NOP,2,"$3,383,360","$1,691,680",$0,"$1,620,564",$0,$0
James Ennis III,2020,SF,UFA,ORL,ORL,1,"$3,300,000","$3,300,000",$0,"$3,300,000",$0,$0
Kelan Martin,2020,SF,UFA,MIN,IND,2,"$3,147,290","$1,573,645",$0,"$722,848",$0,$0
Oshae Brissett,2020,SF,RFA,TOR,TOR,2,"$3,147,290","$1,573,645","$300,000","$300,000","$1,445,697","$1,445,697"
Patrick Patterson,2020,PF,UFA,LAC,LAC,1,"$3,077,704","$3,077,704","$2,331,593","$3,077,704","$1,620,564","$2,331,593"
Udonis Haslem,2020,PF,UFA,MIA,MIA,1,"$2,564,753","$2,564,753",$0,"$2,564,753",$0,$0
Dwight Howard,2020,C,UFA,LAL,PHI,1,"$2,564,753","$2,564,753",$0,"$2,564,753",$0,$0
Jeff Green,2020,PF,UFA,HOU,BKN,1,"$2,564,753","$2,564,753","$695,526","$2,564,753","$439,475","$695,526"
Carmelo Anthony,2020,PF,UFA,POR,POR,1,"$2,564,753","$2,564,753",$0,"$2,564,753",$0,$0
Jeff Teague,2020,PG,UFA,ATL,BOS,1,"$2,564,753","$2,564,753",$0,"$2,564,753",$0,$0
Jose Barea,2020,PG,UFA,DAL,DAL,1,"$2,564,753","$2,564,753","$2,564,753","$2,564,753","$1,620,564","$2,564,753"
Wayne Ellington,2020,SG,UFA,NYK,DET,1,"$2,564,753","$2,564,753",$0,"$2,564,753",$0,$0
Jared Dudley,2020,SF,UFA,LAL,LAL,1,"$2,564,753","$2,564,753","$2,564,753","$2,564,753","$1,620,564","$2,564,753"
Nicolas Batum,2020,SF,UFA,CHA,LAC,1,"$2,564,753","$2,564,753","$2,564,753","$2,564,753","$1,620,564","$2,564,753"
Markieff Morris,2020,PF,UFA,LAL,LAL,1,"$2,331,593","$2,331,593",$0,"$2,331,593",$0,$0
Reggie Jackson,2020,PG,UFA,LAC,LAC,1,"$2,331,593","$2,331,593","$734,025","$2,331,593","$512,721","$734,025"
Kent Bazemore,2020,SG,UFA,SAC,GSW,1,"$2,320,044","$2,320,044",$0,"$2,320,044",$0,$0
Hassan Whiteside,2020,C,UFA,POR,SAC,1,"$2,320,044","$2,320,044","$2,320,044","$2,320,044","$1,620,564","$2,320,044"
Alex Len,2020,C,UFA,SAC,TOR,1,"$2,258,000","$2,258,000","$2,258,000","$2,258,000","$2,258,000","$2,258,000"
Solomon Hill,2020,SF,UFA,MIA,ATL,1,"$2,174,318","$2,174,318",$0,$0,$0,$0
Matthew Dellavedova,2020,PG,UFA,CLE,CLE,1,"$2,174,318","$2,174,318","$2,174,318","$2,174,318","$1,620,564","$2,174,318"
Langston Galloway,2020,SG,UFA,DET,PHX,1,"$2,028,594","$2,028,594","$2,028,594","$2,028,594","$1,620,564","$2,028,594"
Noah Vonleh,2020,PF,UFA,DEN,CHI,1,"$2,028,594","$2,028,594",$0,$0,"$1,620,564","$2,028,594"
Tyler Johnson,2020,SG,UFA,BKN,BKN,1,"$2,028,594","$2,028,594","$212,753","$2,028,594","$183,115","$212,753"
Glenn Robinson III,2020,SF,UFA,PHI,SAC,1,"$2,028,594","$2,028,594",$0,$0,"$1,620,564","$2,028,594"
Raul Neto,2020,PG,UFA,PHI,WAS,1,"$1,882,867","$1,882,867",$0,"$1,882,867","$840,000","$840,000"
JaKarr Sampson,2020,SF,UFA,IND,IND,1,"$1,882,867","$1,882,867","$88,531","$1,882,867","$85,458","$88,531"
Willy Hernangomez,2020,C,UFA,CHA,NOP,1,"$1,737,145","$1,737,145","$700,000","$700,000","$1,620,564","$1,737,145"
Thon Maker,2020,C,UFA,DET,CLE,1,"$1,737,145","$1,737,145",$0,$0,"$1,620,564","$1,737,145"
Torrey Craig,2020,SF,UFA,DEN,MIL,1,"$1,678,854","$1,678,854",$0,"$1,678,854",$0,$0
Harry Giles,2020,C,UFA,SAC,POR,1,"$1,678,854","$1,678,854",$0,"$1,678,854",$0,$0
Sindarius Thornwell,2020,SG,UFA,NOP,NOP,1,"$1,678,854","$1,678,854",$0,"$400,000",$0,$0
DaQuan Jeffries,2020,SG,RFA,SAC,SAC,1,"$1,445,697","$1,445,697","$1,445,697","$1,445,697","$1,445,697","$1,445,697"
Kawhi Leonard,2021,SF,UFA,LAC,LAC,4,"$176,265,152","$44,066,288","$176,265,152","$176,265,152","$39,344,900","$39,344,900"
John Collins,2021,PF,RFA,ATL,ATL,5,"$125,000,000","$25,000,000",$0,"$125,000,000",$0,$0
Chris Paul,2021,PG,UFA,PHX,PHX,4,"$120,000,000","$30,000,000",$0,"$75,000,000",$0,$0
Jarrett Allen,2021,C,RFA,CLE,CLE,5,"$100,000,000","$20,000,000","$100,000,000","$100,000,000","$20,000,000","$20,000,000"
Duncan Robinson,2021,SF,RFA,MIA,MIA,5,"$90,000,000","$18,000,000","$80,000,000","$80,000,000","$15,650,000","$15,650,000"
Norman Powell,2021,SG,UFA,POR,POR,5,"$90,000,000","$18,000,000","$90,000,000","$90,000,000","$15,517,242","$15,517,242"
Kyle Lowry,2021,PG,UFA,TOR,MIA,3,"$85,000,002","$28,333,334",$0,"$85,000,002",$0,$0
DeMar DeRozan,2021,SF,UFA,SAS,CHI,3,"$85,000,000","$28,333,333",$0,"$85,000,000",$0,$0
Lonzo Ball,2021,PG,RFA,NOP,CHI,4,"$80,000,000","$20,000,000","$80,000,000","$80,000,000","$18,604,651","$18,604,651"
Tim Hardaway Jr.,2021,SG,UFA,DAL,DAL,4,"$75,000,000","$18,750,000",$0,"$75,000,000",$0,$0
Evan Fournier,2021,SG,UFA,BOS,NYK,4,"$73,000,000","$18,250,000",$0,"$73,000,000","$17,000,000","$17,000,000"
Mike Conley,2021,PG,UFA,UTA,UTA,3,"$68,040,000","$22,680,000","$58,000,000","$58,000,000","$21,000,000","$21,000,000"
Lauri Markkanen,2021,PF,RFA,CHI,CLE,4,"$67,470,906","$16,867,727","$55,426,362","$55,426,362","$15,690,909","$15,690,909"
Spencer Dinwiddie,2021,PG,UFA,BKN,WAS,3,"$54,000,000","$18,000,000","$34,362,144","$45,142,857","$10,605,600","$10,605,600"
Gary Trent Jr.,2021,SG,RFA,TOR,TOR,3,"$51,840,000","$17,280,000",$0,"$51,840,000",$0,$0
Devonte' Graham,2021,PG,RFA,CHA,NOP,4,"$47,300,000","$11,825,000",$0,"$37,500,000",$0,$0
Richaun Holmes,2021,C,UFA,SAC,SAC,4,"$46,522,560","$11,630,640",$0,"$46,522,560","$1,074,169","$1,074,169"
Derrick Rose,2021,PG,UFA,NYK,NYK,3,"$43,562,189","$14,520,730","$27,965,850","$43,562,189","$13,445,120","$13,445,120"
Doug McDermott,2021,SF,UFA,IND,SAS,3,"$42,000,000","$14,000,000",$0,$0,$0,$0
Josh Hart,2021,SG,RFA,NOP,NOP,3,"$37,920,000","$12,640,000",$0,"$12,000,000",$0,$0
Kelly Olynyk,2021,PF,UFA,HOU,DET,3,"$37,195,122","$12,398,374","$28,000,000","$28,000,000","$12,195,122","$12,195,122"
Alex Caruso,2021,SG,UFA,LAL,CHI,4,"$37,000,000","$9,250,000",$0,$0,$0,$0
Daniel Theis,2021,C,UFA,CHI,HOU,4,"$35,605,510","$8,901,378",$0,"$35,605,510",$0,$0
T.J. McConnell,2021,PG,UFA,IND,IND,4,"$33,600,000","$8,400,000","$4,500,000","$29,300,000","$3,500,000","$3,500,000"
Talen Horton-Tucker,2021,SG,RFA,LAL,LAL,3,"$30,780,000","$10,260,000","$30,780,000","$30,780,000","$9,500,000","$9,500,000"
Alec Burks,2021,SG,UFA,NYK,NYK,3,"$30,038,400","$10,012,800","$19,548,800","$30,038,400","$9,536,000","$9,536,000"
Reggie Bullock,2021,SF,UFA,NYK,DAL,3,"$30,038,400","$10,012,800","$25,000,000","$25,000,000","$9,536,000","$9,536,000"
Nerlens Noel,2021,C,UFA,NYK,NYK,3,"$27,720,000","$9,240,000","$3,745,548","$27,720,000","$1,757,429","$1,757,429"
Kelly Oubre Jr.,2021,SF,UFA,GSW,CHA,2,"$25,000,000","$12,500,000",$0,"$25,000,000",$0,$0
Zach Collins,2021,C,UFA,POR,SAS,3,"$22,050,000","$7,350,000","$10,675,000","$10,675,000","$7,000,000","$7,000,000"
Reggie Jackson,2021,PG,UFA,LAC,LAC,2,"$21,599,760","$10,799,880","$2,331,593","$21,599,760","$1,620,564","$2,331,593"
Khem Birch,2021,C,UFA,TOR,TOR,3,"$20,002,500","$6,667,500","$20,002,500","$20,002,500","$6,350,000","$6,350,000"
Danny Green,2021,SF,UFA,PHI,PHI,2,"$20,000,000","$10,000,000","$30,000,000","$10,000,000","$14,634,146","$14,634,146"
Cameron Payne,2021,PG,UFA,PHX,PHX,3,"$19,000,000","$6,333,333","$196,288","$14,500,000","$196,288","$196,288"
Rudy Gay,2021,PF,UFA,SAS,UTA,3,"$18,553,500","$6,184,500","$28,000,000","$18,553,500","$14,500,000","$14,000,000"
Kemba Walker,2021,PG,UFA,OKC,NYK,2,"$17,894,491","$8,947,246",$0,"$17,894,491",$0,$0
JaMychal Green,2021,PF,UFA,DEN,DEN,2,"$16,400,000","$8,200,000",$0,"$16,400,000",$0,$0
Garrett Temple,2021,SG,UFA,CHI,NOP,3,"$15,466,500","$5,155,500","$10,065,500","$10,065,500","$4,910,000","$4,910,000"
David Nwaba,2021,SG,UFA,HOU,HOU,3,"$15,000,000","$5,000,000","$9,672,000","$15,000,000","$4,650,000","$4,650,000"
P.J. Tucker,2021,PF,UFA,MIL,MIA,2,"$14,350,000","$7,175,000",$0,"$14,350,000",$0,$0
Jarred Vanderbilt,2021,PF,RFA,MIN,MIN,3,"$13,122,000","$4,374,000",$0,"$13,122,000",$0,$0
Patty Mills,2021,PG,UFA,SAS,BKN,2,"$12,074,500","$6,037,250","$12,074,500","$12,074,500","$5,890,000","$5,890,000"
Hamidou Diallo,2021,SG,RFA,DET,DET,2,"$10,400,000","$5,200,000","$2,284,161","$10,400,000","$838,464","$838,464"
Kendrick Nunn,2021,PG,UFA,MIA,LAL,2,"$10,250,000","$5,125,000","$10,250,000","$10,250,000","$5,000,000","$5,000,000"
Cory Joseph,2021,PG,UFA,DET,DET,2,"$10,065,500","$5,032,750","$10,065,500","$10,065,500","$4,910,000","$4,910,000"
Taj Gibson,2021,C,UFA,NYK,NYK,2,"$10,065,500","$5,032,750",$0,"$4,910,000",$0,$0
Torrey Craig,2021,SF,UFA,PHX,IND,2,"$10,000,000","$5,000,000","$10,000,000","$10,000,000","$4,878,049","$4,878,049"
Ishmael Smith,2021,PG,UFA,WAS,CHA,2,"$9,225,000","$4,612,500","$4,500,000","$4,500,000","$4,500,000","$4,500,000"
Jeff Green,2021,PF,UFA,BKN,DEN,2,"$9,000,000","$4,500,000","$2,564,753","$9,000,000","$1,620,564","$1,620,564"
Maurice Harkless,2021,SF,UFA,SAC,SAC,2,"$9,000,000","$4,500,000",$0,$0,$0,$0
Bobby Portis,2021,PF,UFA,MIL,MIL,2,"$8,912,580","$4,456,290",$0,"$8,912,580",$0,$0
Dante Exum,2021,PG,UFA,HOU,HOU,3,"$8,100,000","$2,700,000",$0,$0,"$5,000,000","$2,500,000"
Terence Davis,2021,SG,RFA,SAC,SAC,2,"$8,000,000","$4,000,000",$0,"$8,000,000",$0,$0
George Hill,2021,PG,UFA,PHI,MIL,2,"$8,000,000","$4,000,000",$0,"$8,000,000",$0,$0
Justise Winslow,2021,SF,UFA,MEM,LAC,2,"$8,000,000","$4,000,000","$8,000,000","$8,000,000","$3,902,439","$3,902,439"
Didi Louzada,2021,SF,RFA,NOP,NOP,4,"$7,686,312","$1,921,578","$3,663,100","$3,663,100","$1,786,878","$1,786,878"
Alex Len,2021,C,UFA,WAS,SAC,2,"$7,650,600","$3,825,300","$7,650,600","$7,650,600","$3,732,000","$3,732,000"
Willy Hernangomez,2021,C,UFA,NOP,NOP,3,"$7,330,743","$2,443,581","$4,770,801","$7,330,743","$2,327,220","$2,327,220"
Boban Marjanovic,2021,C,UFA,DAL,DAL,2,"$7,000,000","$3,500,000","$7,000,000","$7,000,000","$3,500,000","$3,500,000"
Mike Muscala,2021,C,UFA,OKC,OKC,2,"$7,000,000","$3,500,000","$3,500,000","$7,000,000","$3,500,000","$3,500,000"
Georges Niang,2021,PF,UFA,UTA,PHI,2,"$6,765,000","$3,382,500",$0,"$6,765,000",$0,$0
Nicolas Batum,2021,SF,UFA,LAC,LAC,2,"$6,498,559","$3,249,280","$6,498,559","$6,498,559","$3,170,029","$3,170,029"
Jordan McLaughlin,2021,PG,RFA,MIN,MIN,3,"$6,480,000","$2,160,000",$0,"$6,480,000",$0,$0
Frank Jackson,2021,PG,RFA,DET,DET,2,"$6,150,000","$3,075,000",$0,"$6,150,000",$0,$0
Sterling Brown,2021,SG,UFA,HOU,DAL,2,"$6,000,000","$3,000,000","$6,000,000","$6,000,000","$3,000,000","$3,000,000"
Dennis Schröder,2021,PG,UFA,LAL,BOS,1,"$5,890,000","$5,890,000",$0,"$5,890,000",$0,$0
Saben Lee,2021,PG,RFA,DET,DET,3,"$5,143,840","$1,714,613","$3,241,703","$5,143,840","$1,489,065","$1,489,065"
Trey Lyles,2021,PF,UFA,SAS,DET,2,"$5,125,000","$2,562,500","$6,500,000","$5,125,000","$5,500,000","$5,500,000"
JaVale McGee,2021,C,UFA,DEN,PHX,1,"$5,000,000","$5,000,000",$0,"$5,000,000",$0,$0
Robin Lopez,2021,C,UFA,WAS,ORL,1,"$5,000,000","$5,000,000",$0,"$5,000,000",$0,$0
Louis Williams,2021,SG,UFA,ATL,ATL,1,"$5,000,000","$5,000,000",$0,"$5,000,000",$0,$0
Bruce Brown Jr.,2021,SG,RFA,BKN,BKN,1,"$4,736,102","$4,736,102","$4,736,102","$4,736,102","$4,736,102","$4,736,102"
Bryn Forbes,2021,SG,UFA,MIL,SAS,1,"$4,500,000","$4,500,000","$4,500,000","$4,500,000","$4,500,000","$4,500,000"
Abdel Nader,2021,SF,UFA,PHX,PHX,2,"$4,160,000","$2,080,000","$2,000,000","$4,160,000","$2,000,000","$2,000,000"
Denzel Valentine,2021,SG,UFA,CHI,CLE,2,"$4,133,270","$2,066,635","$500,000","$500,000","$1,939,350","$1,939,350"
Gorgui Dieng,2021,C,UFA,SAS,ATL,1,"$4,000,000","$4,000,000","$4,000,000","$4,000,000","$4,000,000","$4,000,000"
Tony Bradley,2021,C,UFA,OKC,CHI,2,"$3,825,574","$1,912,787",$0,"$3,825,574",$0,$0
Frank Ntilikina,2021,PG,UFA,NYK,DAL,2,"$3,825,574","$1,912,787","$1,789,256","$1,789,256","$1,789,256","$1,789,256"
Moritz Wagner,2021,C,UFA,ORL,ORL,2,"$3,607,937","$1,803,969",$0,"$1,729,217",$0,$0
Thanasis Antetokounmpo,2021,SF,UFA,MIL,MIL,2,"$3,607,937","$1,803,969",$0,"$3,607,937",$0,$0
Sviatoslav Mykhailiuk,2021,SF,UFA,OKC,TOR,2,"$3,607,937","$1,803,969","$3,607,937","$3,607,937","$1,729,217","$1,729,217"
Keita Bates-Diop,2021,SF,RFA,SAS,SAS,2,"$3,607,937","$1,803,969","$1,729,217","$1,729,217","$1,729,217","$1,729,217"
Alize Johnson,2021,PF,UFA,BKN,CHI,2,"$3,607,937","$1,803,969",$0,$0,"$1,729,217","$1,729,217"
Gabe Vincent,2021,PG,RFA,MIA,MIA,2,"$3,484,855","$1,742,428",$0,"$1,669,178",$0,$0
Javonte Green,2021,SG,RFA,CHI,CHI,2,"$3,484,855","$1,742,428","$3,484,855","$3,484,855","$1,669,178","$1,669,178"
Max Strus,2021,SG,RFA,MIA,MIA,2,"$3,421,816","$1,710,908",$0,"$1,669,178",$0,$0
Omer Yurtseven,2021,C,UFA,MIA,MIA,2,"$3,241,703","$1,620,852","$1,489,065","$1,489,065","$1,489,065","$1,489,065"
Will Barton,2021,SG,UFA,DEN,DEN,2,"$3,000,000","$1,500,000",$0,"$3,000,000",$0,$0
Trevor Ariza,2021,SF,UFA,MIA,LAL,1,"$2,641,691","$2,641,691","$2,641,691","$2,641,691","$1,669,178","$2,641,691"
Wayne Ellington,2021,SG,UFA,DET,LAL,1,"$2,641,691","$2,641,691","$2,641,691","$2,641,691","$1,669,178","$2,641,691"
Dwight Howard,2021,C,UFA,PHI,LAL,1,"$2,641,691","$2,641,691","$2,641,691","$2,641,691","$1,669,178","$2,641,691"
Blake Griffin,2021,PF,UFA,BKN,BKN,1,"$2,641,691","$2,641,691","$2,641,691","$2,641,691","$1,669,178","$2,641,691"
James Johnson,2021,PF,UFA,NOP,BKN,1,"$2,641,691","$2,641,691",$0,"$2,641,691",$0,$0
Carmelo Anthony,2021,PF,UFA,POR,LAL,1,"$2,641,691","$2,641,691",$0,"$2,641,691",$0,$0
Markieff Morris,2021,PF,UFA,LAL,MIA,1,"$2,641,691","$2,641,691",$0,"$2,641,691",$0,$0
Enes Freedom,2021,C,UFA,POR,BOS,1,"$2,641,691","$2,641,691","$2,641,691","$2,641,691","$1,669,178","$2,641,691"
Udonis Haslem,2021,PF,UFA,MIA,MIA,1,"$2,641,691","$2,641,691","$2,564,753","$2,641,691","$1,620,564","$2,564,753"
Rajon Rondo,2021,PG,UFA,MEM,LAL,1,"$2,641,691","$2,641,691",$0,"$2,641,691",$0,$0
LaMarcus Aldridge,2021,PF,UFA,BKN,BKN,1,"$2,641,691","$2,641,691","$2,641,691","$2,641,691","$1,669,178","$2,641,691"
E'Twaun Moore,2021,SG,UFA,PHX,ORL,1,"$2,641,691","$2,641,691","$2,641,691","$2,641,691","$1,669,178","$2,641,691"
DeAndre Jordan,2021,C,UFA,DET,LAL,1,"$2,641,691","$2,641,691",$0,"$2,641,691",$0,$0
Paul Millsap,2021,PF,UFA,DEN,BKN,1,"$2,641,691","$2,641,691","$2,641,691","$2,641,691","$1,669,178","$2,641,691"
Jock Landale,2021,C,UFA,,SAS,2,"$2,488,776","$1,244,388","$925,258","$925,258","$925,258","$925,258"
Kent Bazemore,2021,SG,UFA,GSW,LAL,1,"$2,401,537","$2,401,537",$0,"$2,401,537",$0,$0
Austin Rivers,2021,SG,UFA,DEN,DEN,1,"$2,401,537","$2,401,537",$0,"$2,401,537",$0,$0
Andre Drummond,2021,C,UFA,LAL,PHI,1,"$2,401,537","$2,401,537",$0,"$2,401,537",$0,$0
Hassan Whiteside,2021,C,UFA,SAC,UTA,1,"$2,401,537","$2,401,537","$2,401,537","$2,401,537","$1,669,178","$2,401,537"
Solomon Hill,2021,SF,UFA,ATL,ATL,1,"$2,389,641","$2,389,641","$2,389,641","$2,389,641","$1,669,178","$2,389,641"
Cody Zeller,2021,C,UFA,CHA,POR,1,"$2,389,641","$2,389,641","$2,389,641","$2,389,641","$1,669,178","$2,389,641"
Dewayne Dedmon,2021,C,UFA,MIA,MIA,1,"$2,389,641","$2,389,641",$0,"$2,389,641",$0,$0
Otto Porter Jr.,2021,SF,UFA,ORL,GSW,1,"$2,389,641","$2,389,641","$2,389,641","$2,389,641","$1,669,178","$2,389,641"
Ben McLemore,2021,SF,UFA,LAL,POR,1,"$2,389,641","$2,389,641","$2,389,641","$2,389,641","$1,669,178","$2,389,641"
Tony Snell,2021,SG,UFA,ATL,POR,1,"$2,389,641","$2,389,641","$2,389,641","$2,389,641","$1,669,178","$2,389,641"
Victor Oladipo,2021,SG,UFA,MIA,MIA,1,"$2,389,641","$2,389,641","$2,389,641","$2,389,641","$1,669,178","$2,389,641"
Rodney Hood,2021,SF,UFA,TOR,MIL,1,"$2,239,544","$2,239,544","$2,239,544","$2,239,544","$1,669,178","$2,239,544"
Elfrid Payton,2021,PG,UFA,NYK,PHX,1,"$2,239,544","$2,239,544","$2,239,544","$2,239,544","$1,669,178","$2,239,544"
Nemanja Bjelica,2021,PF,UFA,MIA,GSW,1,"$2,089,448","$2,089,448","$2,089,448","$2,089,448","$1,669,178","$2,089,448"
Raul Neto,2021,PG,UFA,WAS,WAS,1,"$2,089,448","$2,089,448","$1,737,145","$2,089,448","$1,620,564","$1,737,145"
Frank Kaminsky,2021,C,UFA,PHX,PHX,1,"$2,089,448","$2,089,448","$2,089,448","$2,089,448","$1,669,178","$2,089,448"
DeAndre' Bembry,2021,SF,UFA,TOR,BKN,1,"$1,939,350","$1,939,350",$0,"$750,000",$0,$0
Timothe Luwawu-Cabarrot,2021,SG,UFA,BKN,ATL,1,"$1,939,350","$1,939,350",$0,$0,"$1,669,178","$1,939,350"
Semi Ojeleye,2021,PF,UFA,BOS,MIL,1,"$1,789,256","$1,789,256",$0,"$1,789,256",$0,$0
Sam Dekker,2021,SF,UFA,WAS,TOR,1,"$1,789,256","$1,789,256","$350,000","$350,000","$1,669,178","$1,789,256"
Malik Monk,2021,SG,UFA,CHA,LAL,1,"$1,789,256","$1,789,256",$0,"$1,789,256",$0,$0
Isaac Bonga,2021,SF,UFA,WAS,TOR,1,"$1,729,217","$1,729,217",$0,$0,"$1,669,178","$1,729,217"
Jarrell Brantley,2021,PF,RFA,UTA,UTA,1,"$1,669,178","$1,669,178","$84,414","$84,414","$1,669,178","$1,669,178"
Rayjon Tucker,2021,SF,RFA,PHI,PHI,1,$0,$0,$0,$0,$0,$0
Nathan Knight,2021,PF,UFA,ATL,MIN,1,$0,$0,$0,$0,$0,$0
Chris Chiozza,2021,PG,UFA,BKN,GSW,1,$0,$0,$0,$0,$0,$0
Trent Forrest,2021,PG,RFA,UTA,UTA,1,$0,$0,$0,$0,$0,$0
Ignas Brazdeikis,2021,SF,UFA,ORL,ORL,1,$0,$0,$0,$0,$0,$0
Killian Tillie,2021,PF,RFA,MEM,MEM,1,$0,$0,$0,$0,$0,$0
Devon Dotson,2021,PG,RFA,CHI,CHI,1,$0,$0,$0,$0,$0,$0
Markus Howard,2021,PG,RFA,DEN,DEN,1,$0,$0,$0,$0,$0,$0
Josh Hall,2021,SF,RFA,OKC,OKC,1,$0,$0,$0,$0,$0,$0
Cassius Winston,2021,PG,RFA,WAS,WAS,1,$0,$0,$0,$0,$0,$0
Grant Riller,2021,PG,UFA,CHA,PHI,1,$0,$0,$0,$0,$0,$0
Anthony Lamb,2021,SF,RFA,HOU,HOU,1,$0,$0,$0,$0,$0,$0
Chandler Hutchison,2021,SF,UFA,SAS,PHX,1,$0,$0,$0,$0,$0,$0
Caleb Martin,2021,SF,UFA,CHA,MIA,1,$0,$0,$0,$0,$0,$0
Paul Watson,2021,SG,UFA,TOR,OKC,1,$0,$0,$0,$0,$0,$0
Justin James,2021,SG,UFA,SAC,UTA,1,$0,$0,$0,$0,$0,$0
Amir Coffey,2021,SG,RFA,LAC,LAC,1,$0,$0,$0,$0,$0,$0
Bradley Beal,2022,SG,UFA,WAS,WAS,5,"$251,019,650","$50,203,930","$251,019,650","$251,019,650","$43,279,250","$43,279,250"
Zach LaVine,2022,SG,UFA,CHI,CHI,5,"$215,159,700","$43,031,940","$215,159,700","$215,159,700","$37,096,500","$37,096,500"
Deandre Ayton,2022,C,RFA,PHX,PHX,4,"$132,929,128","$33,232,282","$132,929,128","$132,929,128","$30,913,750","$30,913,750"
Jalen Brunson,2022,PG,UFA,DAL,NYK,4,"$104,000,000","$26,000,000","$104,000,000","$104,000,000","$27,733,332","$27,733,332"
Anfernee Simons,2022,SG,RFA,POR,POR,4,"$100,000,000","$25,000,000","$100,000,000","$100,000,000","$22,321,429","$22,321,429"
Luguentz Dort,2022,SG,RFA,OKC,OKC,5,"$82,500,000","$16,500,000","$64,777,778","$64,777,778","$15,277,778","$15,277,778"
Collin Sexton,2022,PG,RFA,CLE,UTA,4,"$70,950,000","$17,737,500","$70,950,000","$70,950,000","$16,500,000","$16,500,000"
Jusuf Nurkic,2022,C,UFA,POR,POR,4,"$70,000,000","$17,500,000","$70,000,000","$70,000,000","$15,625,000","$15,625,000"
James Harden,2022,SG,UFA,PHI,PHI,2,"$68,640,000","$34,320,000","$68,640,000","$68,640,000","$33,000,000","$33,000,000"
Mitchell Robinson,2022,C,UFA,NYK,NYK,4,"$60,000,000","$15,000,000","$60,000,000","$60,000,000","$17,045,454","$17,045,454"
Bobby Portis,2022,PF,UFA,MIL,MIL,4,"$48,578,208","$12,144,552","$48,578,208","$48,578,208","$10,843,350","$10,843,350"
Marvin Bagley III,2022,PF,RFA,DET,DET,3,"$37,500,000","$12,500,000","$37,500,000","$37,500,000","$12,500,000","$12,500,000"
Chris Boucher,2022,PF,UFA,TOR,TOR,3,"$35,250,000","$11,750,000","$35,250,000","$35,250,000","$12,690,000","$12,690,000"
P.J. Tucker,2022,PF,UFA,MIA,PHI,3,"$33,043,500","$11,014,500","$33,043,500","$33,043,500","$10,490,000","$10,490,000"
Cody Martin,2022,SF,RFA,CHA,CHA,4,"$31,360,000","$7,840,000","$22,680,000","$22,680,000","$7,000,000","$7,000,000"
Tyus Jones,2022,PG,UFA,MEM,MEM,2,"$29,000,000","$14,500,000","$29,000,000","$29,000,000","$15,000,000","$15,000,000"
